token,meat_count,no_meat_count
klasik,3,0
klicek,13,5
klicka,3,0
klobasa,206,0
klobaska,92,1
klobaskou,1,0
klobaskovy,1,0
klobasou,3,0
klobasova,2,0
klobasovy,3,0
klobit,2,0
klokan,0,1
klops,2,0
kmin,3,0
kminkovy,1,0
kminovy,0,2
kndedlicka,1,0
knedla,705,43
knedlami,1,0
knedlicek,0,1
knedlicka,18,14
knedlik,34,4
knedliy,1,0
knedlou,1,0
knedlouksa,1,0
knedly,2,0
knednut,24,0
knoblaucher,1,0
knuckle,1,0
kocka,33,11
kocko,2,0
kofola,1,2
kofta,1,1
kohlrab,0,1
kohut,1,0
kohuta,1,0
kohuti,1,0
kokos,3,1
kokose,1,0
kokosovo,0,1
kokosovy,20,13
koktejlovy,1,0
kolac,2,31
kolacik,1,1
koleno,24,0
koliba,2,0
kolienko,33,1
kolko,0,1
kolozvarsky,57,0
kominarovy,0,1
komplet,2,0
kompletny,1,0
kompot,144,11
kompotom,0,1
konakovo,1,0
konakovy,2,0
konfit,1,0
konfitovany,31,0
konopny,1,1
konsky,1,0
kopcek,2,1
kopmot,0,1
kopor,28,34
kopr,1,0
koprov,3,0
koprova,3,0
koprovy,79,12
kora,0,2
korbacik,0,1
koren,3,0
koreneny,4,0
korenie,63,1
korenina,0,4
korenise,0,1
korenisty,4,0
korenit,17,4
korenovej,0,1
korenovy,37,17
korhelsky,1,0
koriander,20,16
koriandrovy,3,2
koruna,1,0
korunka,1,0
korzicky,1,0
kosicek,1,0
kosicky,1,0
kosik,2,0
kosovsky,0,1
kost,10,1
kotbular,1,0
kotlat,1,0
kotlet,2,0
kotleta,15,0
kotletka,1,0
kotlikovy,14,0
koza,2,0
kozacky,2,0
kozi,5,19
krabi,6,1
krajany,1,0
kralici,2,0
kralik,1,0
kralovsky,4,1
krava,8,0
krcmarsky,3,0
krem,83,289
kremov,0,2
kremova,2,7
kremovy,109,277
kremzsky,0,1
kreveta,20,0
krevetok,3,0
krevetovy,3,0
kridelka,1,0
kridelko,9,1
kridielko,8,0
kridlo,9,0
krk,8,0
krkovica,2,0
krkovicka,184,0
kroketa,78,16
kroketka,2,0
krokoeta,1,0
krpok,0,1
krtove,0,2
krup,1,1
krupa,2,12
krupica,1,1
krupicovy,15,21
krupka,2,6
krupkovy,5,9
krupok,0,1
krupot,2,0
krupoto,1,3
krupovy,5,6
krusit,16,1
krusta,11,1
kruton,65,188
krutona,1,7
krutonik,0,1
krutonka,2,1
krutonmi,0,1
krutonmus,1,0
kruzok,12,3
krvanicka,1,0
krvavnica,4,0
krvavnicka,6,0
ks,75,40
ksknedla,1,0
ksks,0,1
kubansky,1,0
kubka,1,0
kuchar,1,0
kucharovy,1,0
kuchyna,2,0
kug,1,0
kukur,4,0
kukurcia,1,0
kukurica,173,35
kukuricka,8,0
kukuricny,21,8
kukuricnych,1,0
kukuricou,1,0
kukuricovo,0,2
kukuricovy,6,6
kulajda,9,36
kung,29,1
kungpau,1,0
kupelny,0,1
kur,76,1
kura,45,0
kuraci,3553,0
kuracia,13,0
kuracie,46,0
kuracim,8,0
kuracima,1,0
kuracimi,1,0
kuracinka,6,0
kuraciy,3,0
kurak,8,0
kurca,23,0
kurci,1,0
kuriatko,17,0
kuriatkovo,1,0
kuriatkovy,7,0
kuriatok,1,0
kurkum,1,0
kurkuma,5,6
kurkumovo,2,0
kurkumovy,2,2
kurste,1,0
kus,6,12
kusa,1,0
kuska,3,0
kuskami,2,0
kuskus,25,15
kuskusovy,1,0
kusky,1,0
kusok,157,12
kuttlar,1,0
kvaka,1,0
kvasnicovy,0,1
kyjevsky,7,0
kylsa,1,0
kys,12,2
kyselica,1,0
kysky,1,0
kysl,4,1
kysla,1,5
kysle,0,1
kyslo,0,6
kysly,479,253
kysnut,69,166
kysnuty,15,7
l,7,0
la,12,2
labuznicky,5,0
labuznik,1,0
laci,5,1
lad,2,2
ladovy,26,15
lahky,1,4
lahm,1,0
lahodka,0,1
lahodkovy,4,1
lahodny,0,6
lan,0,2
langos,2,5
lasagna,2,0
lasagne,3,0
lasagnut,71,42
lasagny,0,2
lasanga,1,0
lasgnut,0,1
lassagnut,2,0
lavat,0,1
lazagnut,1,0
lazane,3,2
laznicky,1,0
leaf,4,1
leberkaso,0,1
leco,18,0
lecovy,1,0
leek,5,5
leerdamer,3,0
lefeta,1,0
lego,5,0
legs,2,0
leguma,0,1
lekvar,0,51
lekvarom,0,1
lekvarovy,0,15
lemon,2,0
lenticchia,0,1
lentil,3,1
lepok,3,22
les,2,0
lesa,2,0
lesmy,0,1
lesneho,0,1
lesnicky,5,1
lesny,38,39
lesnych,1,0
letna,0,1
letny,3,3
levandula,1,0
levocsky,1,1
ley,0,1
lhraskovy,0,1
liatie,0,1
liaty,3,11
libanonsky,1,0
lic,0,1
licko,36,0
lieskovy,0,1
lievance,0,1
lievanec,1,46
lievany,0,1
ligurcek,1,1
ligurcekovy,1,1
lika,1,0
lima,2,0
limetka,7,5
limetkovo,10,2
limetkovy,11,3
limetovo,0,1
limetovy,2,0
limetto,1,0
limit,1,0
linguina,7,3
linguine,1,1
linguini,1,0
lingvina,1,0
liptovsky,2,5
list,16,10
listkon,1,0
listkovy,8,6
listoch,1,0
listok,2,2
listov,0,1
listovom,1,0
listovy,125,52
litchi,0,1
liver,3,0
livers,2,0
lizatko,0,1
ljubljan,1,0
lll,0,1
lo,1,0
loaf,4,0
loafs,0,2
lobit,2,0
lodnikov,0,1
lok,1,0
loksa,63,11
lombardsky,1,0
lomo,1,0
london,1,0
londynsky,1,0
long,0,1
look,1,0
lopticka,1,0
lord,0,1
losos,217,0
lososa,1,0
lososos,1,0
lososova,1,0
lososovity,2,0
lososovo,1,0
lososovy,21,0
lovaga,1,0
lovecky,1,0
lt,4,6
lubovolny,16,0
luca,1,0
lunex,1,0
lunexovy,2,0
lupane,1,0
lupany,7,1
lupen,1,1
lupienka,3,0
lupienkoch,1,0
lupienok,12,3
luska,18,5
luskami,4,0
luskova,0,1
luskovy,17,51
luskvy,0,1
lusky,1,0
lusok,13,6
lux,5,0
lv,0,2
lytko,2,0
m,40,14
macanka,0,1
macany,2,0
macarons,0,1
macarronada,1,0
macerovany,0,1
maces,0,1
mackany,2,1
madarsko,1,0
madarsky,110,7
madras,0,1
maestro,1,0
maggi,0,1
magno,1,0
maial,2,0
majoneza,29,9
majonezovo,1,0
majonezovy,68,3
majoran,8,7
majoranka,0,2
majorankovy,1,0
mak,0,86
makaron,2,1
makarony,0,1
makos,0,1
makovicky,0,1
makovo,0,5
makovy,0,38
makrela,3,0
malina,1,4
malinovy,1,4
maly,11,3
mamickina,1,0
mandarinka,1,2
mandarinkovy,0,2
mandel,3,3
mandla,4,0
mandlo,1,0
mandlov,0,1
mandlovej,1,0
mandlovy,12,6
mangalica,2,0
mango,4,1
mangold,2,1
mangovy,3,1
manuel,1,0
manzo,0,1
mar,2,0
marakesske,1,0
marcipan,0,1
marengo,1,0
margarita,0,2
margaritto,1,0
margerita,0,2
margharitto,6,1
margherita,2,6
marhula,3,6
marhulovy,3,11
marin,4,0
marina,1,0
marinada,20,1
marinadovany,1,0
marinar,1,1
marinina,1,0
marinovane,1,0
marinovany,84,21
marinovanym,1,0
marinovy,1,0
marlenka,0,1
marmelada,0,6
marocky,3,0
martine,1,0
mas,7,0
masa,1,0
masallo,0,1
masat,7,2
mascarpona,3,13
mascarpone,1,0
masel,1,2
mashed,15,1
masiarsky,3,0
masielko,1,8
mask,1,0
masko,69,4
masle,1,0
maslo,163,170
maslom,1,2
maslomopekany,1,0
maslomzat,1,0
maslovo,3,2
maslovy,108,32
maso,788,1
masom,10,1
masove,1,0
masovo,3,0
masovy,84,1
masovymi,1,1
massaman,1,0
mast,6,1
masteny,4,1
mata,4,12
matko,1,0
matovy,5,2
matrician,0,1
max,0,1
maxi,0,1
mayo,1,3
mc,1,0
meat,17,1
meciar,1,0
med,26,5
medaijlonka,1,0
medailon,4,0
medailonik,17,1
medailoniky,1,0
medailonka,41,1
medailonky,7,0
medajlonik,1,0
medajlonka,80,0
medajlonky,1,0
medajlony,1,0
medallions,1,0
mede,1,0
medilonka,1,1
mediteransky,4,6
mediterran,0,1
medium,1,0
medom,1,0
medov,0,1
medove,1,0
medovej,1,0
medovka,0,1
medovo,33,6
medovosezamovy,1,0
medovy,46,6
medvedi,2,2
mega,2,0
megabuchta,0,1
meid,1,0
mein,1,0
mela,1,0
melanzan,0,1
melanzane,0,1
melanzano,0,5
melenec,0,3
melitzaniest,1,0
melon,1,0
melrose,0,1
menit,1,0
merano,1,0
mercimek,0,1
merin,0,4
mesec,2,0
mexican,12,0
mexicano,1,0
mexicka,0,3
mexicky,87,9
mexico,10,0
mexiko,3,0
miady,0,1
mierny,1,0
miesana,1,0
miesanom,1,1
miesany,149,58
miest,1,0
miet,1,0
mign,1,0
mignon,3,0
milada,1,0
milanesa,0,1
milaness,0,1
milano,2,1
milansky,3,8
millet,1,0
mineralka,7,19
mineralny,0,1
minester,0,1
minestron,9,51
minestrone,0,3
minestronka,0,1
ming,1,0
mini,11,5
miniplacka,1,0
minisalatik,1,0
mint,0,1
minutka,0,1
mio,3,0
miska,3,0
misko,1,1
miso,1,1
mista,1,0
mix,56,22
mixed,4,0
mixovany,1,8
mixta,1,0
ml,1,0
mlady,16,10
mlety,71,2
mliecny,6,11
mlieko,64,38
mlynarsky,4,0
mn,1,0
mnamkovy,1,0
mnichovsky,1,0
modeno,2,0
modry,8,8
montreal,1,0
moo,2,0
mora,3,0
moravsky,52,5
moravskym,1,0
morcaci,289,0
morcacie,9,0
morcit,1,0
morka,7,0
mornay,3,0
morsky,11,1
mortadella,1,0
motylik,1,0
mouss,0,2
mozaikovy,1,0
mozarella,8,5
mozarelles,10,2
mozarellou,1,0
mozarely,6,1
mozariet,1,0
moznost,4,0
mozocek,0,1
mozzalla,1,0
mozzarella,86,35
mozzarelles,100,29
mozzarellovy,0,1
mozzarelou,5,3
mozzarelovy,0,1
mozzarely,28,11
mozzariet,3,1
mrezovnik,0,1
mriezka,2,0
mriezkovy,0,1
mrk,1,0
mrkovovy,0,2
mrkva,64,52
mrkvicka,7,5
mrkvickou,1,0
mrkvickovy,1,3
mrkvou,3,0
mrkvova,0,3
mrkvovo,12,22
mrkvovy,70,80
mrkvovymi,1,0
mrvenec,0,1
mrvenica,4,17
mrvenicka,9,59
mrvenickou,0,1
mrvenicou,0,1
mrvenka,0,2
mry,2,1
mucinik,0,1
mucny,0,1
mudamas,1,0
muffin,0,1
muka,2,6
mung,0,1
mungo,0,2
mungovy,0,1
musak,6,4
mushroom,6,7
mushrooms,4,6
muskatovy,2,3
musla,1,0
muslicka,4,15
muslickovy,1,0
mustard,2,1
mustovy,1,0
myslivec,1,0
n,4,1
nachos,2,1
nadivany,1,0
nadychany,0,1
nagetka,2,0
nahradit,1,0
nakladany,14,5
nakladeny,1,0
naklepany,1,0
nakrajany,1,0
nakyp,0,49
nakysnut,0,4
nalev,1,0
nalozeny,1,0
namornicky,11,0
nanas,0,1
naopak,2,0
napln,0,4
napoj,4,13
napol,1,1
napoletan,1,0
napolitan,1,0
nasa,2,1
nasi,1,0
naslahany,1,0
nat,3,0
natierka,1,4
natur,0,2
natura,1,2
natural,3,18
naturalny,0,1
naturalt,0,1
natvrdo,0,1
naviseny,3,0
navrchu,1,0
nealkoholicky,0,1
neapnut,2,0
neapolitan,0,1
neapolsky,0,1
nebezpecny,1,0
nebicko,1,0
necestovina,0,1
neck,3,0
neid,1,0
neplneny,0,1
nero,1,1
neskutocny,1,0
nevsedny,0,1
nice,0,2
nicois,3,0
nielen,4,0
nilsky,1,1
nitka,5,0
nitovka,11,2
nitra,4,6
nitrawa,0,1
niva,101,32
nivo,5,5
nivou,1,0
nivova,1,0
nivovo,1,4
nivovou,3,0
nivovy,88,25
nivy,0,1
noc,0,2
nocka,0,1
nok,11,1
nokerla,4,0
noodles,2,3
norskeho,1,0
norsko,1,0
norsky,4,0
nougat,0,1
novinka,12,5
novohradska,2,0
novorocna,1,0
novorocny,1,3
nudel,0,2
nugat,0,2
nugatka,1,0
nugatovy,0,4
nugeta,13,0
nugetka,59,7
nugetovy,0,1
nugett,0,1
nuno,2,0
nuong,2,0
nuro,2,0
nut,2,0
nutela,0,18
nutella,0,5
nutelovy,0,4
nutiet,0,1
nuts,0,2
o,1,0
obal,14,2
obaleny,25,6
obalovane,1,1
obalovany,10,3
obalovat,1,0
obdoba,1,0
obed,1,3
obedovy,1,0
obilnina,66,32
obl,7,0
obloha,307,54
oblozenie,32,6
oblozeny,0,1
oblubeny,12,0
obohateny,0,1
obrateny,35,1
obsahovat,90,34
obsahujuci,3,9
ochuteny,4,0
ocot,1,3
odpalovany,0,1
oglio,2,3
oiivo,1,0
ok,2,0
oko,133,62
okoks,0,1
okom,2,0
okomks,0,2
okra,1,0
okrem,1,0
olej,27,44
olio,10,25
oliva,101,57
olives,1,1
olivovo,4,0
olivovy,33,31
olivy,0,1
ollio,0,1
om,2,1
omac,3,5
omacat,1,0
omack,1,1
omacka,1564,645
omackadruh,2,0
omacke,7,3
omacko,2,0
omackou,12,2
omacky,7,0
omc,1,0
omeleta,9,5
onion,4,0
op,10,2
opacny,1,0
opasok,1,0
opecena,2,0
opeceny,56,39
opek,20,1
opekacka,1,0
opekane,3,0
opekany,342,61
opekeny,2,0
opera,2,0
opiect,2,2
opkeny,1,0
opr,0,2
oprazeny,30,22
oprazit,2,0
oranga,1,0
oranzovy,1,3
orava,2,0
oravsky,35,0
orchidea,0,1
orech,14,20
orecha,3,23
orechovo,0,2
orechovy,2,26
oregan,1,0
oregano,24,2
oriantalny,1,0
orient,4,0
orientalny,3,2
orientalsky,1,0
orieskovo,0,1
orieskovy,0,1
oriesok,5,10
original,2,0
originalny,1,0
originat,1,0
orlica,1,0
osi,1,0
osia,0,2
oskvarkovy,1,0
oslava,1,0
osmazeny,1,0
osriezat,1,0
ostiepkom,2,0
ostiepkovy,1,0
ostiepok,35,58
ostriez,2,1
ostro,8,0
ostrokysla,2,0
ostrokysly,13,1
ostrosladky,1,0
ostrov,3,0
ostry,1,1
osuch,0,4
otvoreny,0,1
ovarovy,1,0
ovci,6,6
ovo,0,1
ovocia,0,1
ovocie,5,95
ovocieks,0,1
ovocno,0,2
ovocny,13,52
ovseny,2,6
own,1,0
oyster,0,2
oystermushrooms,0,1
p,6,3
pad,2,3
padano,2,1
padany,0,1
padarajka,0,1
paela,1,0
paelles,1,1
pakcho,2,0
palacinka,23,130
palacinkovy,0,2
palacinky,0,1
palajo,0,1
palermo,3,0
palicka,1,0
palivy,0,3
palmovy,3,0
palot,0,1
pampuch,0,1
pampusik,0,1
pancaka,1,0
pancakes,0,3
pancett,0,1
pancetto,3,2
pancetty,3,4
panchet,0,1
pancheta,2,2
panchetto,0,1
panchetty,1,0
paneer,0,1
paneka,2,0
panen,1,0
panenka,347,0
panenky,6,0
panenska,1,0
panensky,1,0
pangasius,9,0
pangratty,0,1
pani,2,0
panini,2,1
panko,3,0
panna,3,9
pannacota,0,1
pannek,1,0
panonia,1,0
panorama,1,0
pantat,1,0
panvica,3,0
panvick,1,0
panvicka,8,1
pao,30,1
papardelle,5,1
papo,1,0
pappardelle,2,2
papr,1,0
papricka,10,5
paprickami,1,0
paprika,139,64
paprikas,62,16
paprikov,1,1
paprikovy,14,5
papulka,1,0
paputsakia,1,0
para,8,26
parad,15,4
paradajka,321,155
paradajkami,4,5
paradajkou,1,1
paradajkov,16,11
paradajkova,0,3
paradajkovy,222,225
paradajky,4,0
paradajovy,0,1
paradat,4,0
paradjka,0,1
paradjkovy,0,2
parantat,1,0
pardajka,1,1
parena,0,1
parene,0,2
parenica,1,2
pareny,154,64
parfe,0,1
parikat,2,0
paris,2,0
parisienka,0,1
parisno,1,0
parit,21,1
parizske,1,0
parizsky,49,1
park,1,1
parka,1,0
parkom,9,0
parm,1,0
parma,2,0
parmazan,5,3
parmesan,4,4
parmessan,1,0
parmez,1,0
parmezan,224,193
parmezanom,1,1
parmezanov,1,0
parmezanovy,27,10
parmezany,0,1
parmigiana,0,3
parmsky,4,0
parok,157,0
parslny,4,2
pasirovany,1,0
passion,1,0
pasta,11,6
paster,1,0
pastierkyna,1,0
pastierska,1,0
pastiersky,5,1
pastra,1,0
pastriesit,0,1
pastrnakom,1,0
pastrnakovy,3,4
patat,0,2
patizon,1,0
patriot,1,0
patvonavy,3,0
pazitka,44,20
pazitkovy,15,5
pea,7,2
peas,3,3
pecen,79,1
pecena,6,0
pecene,16,4
pecenovo,2,0
pecenovy,75,13
pecenovymi,1,0
peceny,961,134
pecenymi,1,0
pecienka,89,0
pecienkovy,6,0
pecienky,1,0
pecivko,0,2
pecivo,35,13
pecny,1,0
pecori,1,0
pecorin,4,7
pecorino,0,1
peeled,1,0
pekac,5,0
pekarsky,2,0
pekingsky,3,2
pekinsky,1,0
pekorin,0,2
pely,1,0
pena,9,16
pene,3,1
penenka,2,0
penne,121,87
peperonata,2,0
peperoncino,6,9
pepper,5,0
pepperon,2,0
pepperoncino,0,2
peprovy,1,0
pereny,0,1
perka,0,7
perkelt,96,26
perlicka,1,2
perlovy,0,1
pernik,0,1
pernikovy,0,2
persian,2,0
persie,1,0
peruansky,2,1
perzat,1,0
pest,55,40
pesta,3,0
pesto,14,13
pestom,2,0
pestovy,0,1
pestrofarebny,1,0
pestry,2,0
petrz,2,1
petrzelka,1,0
petrzlen,8,3
petrzlenevy,0,1
petrzlenka,1,0
petrzlenovo,0,1
petrzlenovy,46,25
petrzt,1,0
petzlenovy,2,0
pfefer,5,0
pfeffer,23,0
pfepfer,2,0
pffefer,1,0
phad,3,0
pheasant,2,0
phed,1,0
picant,1,0
picante,1,0
piccant,1,0
pickel,2,0
pickles,2,1
pieces,15,0
piect,15,2
pikant,10,1
pikantne,2,0
pikantny,138,14
pikantnym,1,0
pilaf,1,1
piniovy,0,4
pipka,0,1
piroh,75,43
pirozok,0,2
piselt,1,1
piskota,0,3
piskotovo,0,1
pismenko,3,5
pistacia,1,0
pit,0,1
pita,1,0
pito,10,9
pity,0,1
pivarsky,2,0
pive,1,0
pivnom,2,0
pivny,27,3
pivo,43,2
pivovarnicky,1,0
pivovarsky,4,0
pivovy,7,2
pizoovy,0,1
pizza,374,153
pizzaela,1,0
pizzastangla,0,3
pizzetka,1,0
pizzovy,0,2
pl,18,2
pla,1,0
placicka,1,1
placka,130,58
plackag,1,0
plackami,1,0
placke,2,0
placocka,1,0
plast,1,0
plat,3,0
platka,4,0
platok,231,6
plece,18,0
plech,5,1
plecko,1,0
pleny,1,1
plesen,0,1
pleskavica,9,4
plesnivec,0,2
plesnovy,1,0
pliecko,55,0
pljeskavica,1,0
pln,3,1
plnena,5,2
plnene,1,0
plneny,563,181
plnenysunka,1,0
plnka,51,20
plnney,1,0
plny,1,2
plod,1,1
plovdivsky,5,1
plum,1,0
plundrovy,0,1
plzensky,1,0
pneny,1,0
pnut,4,6
poached,1,0
pochod,5,53
pochut,1,0
pochutina,0,2
pochutiny,0,1
pochutka,30,2
pochutkovy,3,0
podavana,1,1
podavane,3,0
podavany,173,29
podavat,2,0
podliaty,1,0
podlievany,1,0
podnut,0,1
podtatransky,1,0
pohanka,2,9
pohankovo,0,1
pohankovy,1,17
pohar,0,1
pohronska,0,1
poipett,1,0
pol,3,1
polent,4,2
polenta,13,0
polentou,1,0
poleva,0,18
polevka,0,1
poliaty,2,24
poliecko,1,0
poliekva,1,0
polievat,0,3
polievka,500,855
polievky,18,2
polievocka,1,4
polka,2,0
pollo,16,9
polnicek,6,6
polnickom,1,0
polnickovy,1,0
polny,1,0
polo,4,1
polostiepok,0,1
polovica,2,0
polovicka,1,0
polovnicky,26,1
polozeny,1,0
polpetka,1,0
polsky,1,2
pomaly,15,0
pomaran,0,1
pomaranc,18,6
pomaranca,1,0
pomarancov,2,0
pomarancovy,7,4
pomazanka,0,1
pomiet,1,1
pomodor,2,3
pomodoro,39,21
pompei,0,1
pomsta,1,0
pondelok,1,0
ponuka,12,32
ponukat,1,0
popaj,0,1
poppy,0,2
popuceny,2,0
por,40,24
porchetto,1,1
porcia,59,21
porik,8,9
porikovy,0,1
pork,49,2
porka,1,0
porkov,1,1
porkova,0,1
porkovy,1,28
porok,3,4
porov,3,2
porovy,19,27
portobello,1,1
portsky,6,0
posirovany,10,0
postruhany,1,0
posuch,2,6
posucho,1,0
posyp,0,1
posypane,1,0
posypany,35,44
posypka,3,67
posypkou,0,1
potato,10,5
potatocream,0,1
potatoes,51,14
potlaceny,0,1
potrety,2,0
poultra,2,0
poziadanie,2,0
pr,3,0
prach,1,0
pragua,1,0
prasiatko,5,0
praskovy,0,6
pravy,7,2
prazany,7,0
prazenica,9,0
prazeny,6,7
prazit,1,0
prazma,1,0
prazsky,6,0
predjedlo,1,1
prekladany,3,3
prekvapenie,1,1
prelat,23,38
preliaty,28,8
preliv,6,3
prelivom,0,1
prelozeny,2,0
prepared,1,0
prepeceny,0,1
prepelici,1,0
prepusteny,0,1
prerastany,2,0
presporsky,1,0
pressburg,1,0
pretlacany,10,0
pretlaceny,2,0
pretlak,0,3
prevonany,1,0
priat,0,1
pridat,3,0
prievoznicky,1,0
prilhy,1,0
priloha,159,49
prilohovy,5,0
prima,1,0
primavera,0,5
pripraveny,1,0
pripravit,1,0
prir,5,0
priroda,1,0
prirodna,1,0
prirodne,2,0
prirodno,47,0
prirodny,145,4
prisada,5,0
privarkom,1,0
privarok,158,53
profiterol,0,1
promo,1,0
prosciuta,1,0
prosciuto,3,0
prosciutt,30,1
prosciutto,56,0
prosciuttom,1,0
prosciuttto,1,0
prosciuty,7,0
proscuito,1,0
proscuitt,0,1
prosecco,0,1
prossec,0,1
prosuta,7,0
prosuto,0,1
prosuty,2,1
provencial,5,1
provencionale,1,0
provensalske,1,0
provensalsko,1,0
provensalsky,18,2
provenzal,3,0
provincial,6,0
provinciall,1,0
provolon,1,0
prs,1,0
prsa,1,0
prsia,711,0
prsiavit,1,0
prsicek,5,0
prsicko,1,0
prsie,10,0
prst,1,0
prudko,2,0
pruzok,1,0
pryvarok,1,0
psenicnej,2,1
psenicny,6,1
pseno,1,4
psenoto,0,1
psenovo,0,1
psenovy,1,1
pstrosi,0,1
pstruh,41,0
pt,3,0
pub,0,1
puc,2,0
puceny,33,5
puding,1,26
pudingovy,0,1
puff,1,0
pulitzer,2,0
pult,0,2
pumpkin,1,3
puncovy,0,1
pupok,1,0
purey,0,2
pusinka,1,0
putanesec,1,0
puttanesec,2,2
pyd,1,0
pyre,221,44
pyro,2,0
pyroh,1,0
pyta,0,1
qautro,0,1
quark,0,2
quatro,2,16
quatroformaggi,0,1
quatroformagi,1,0
quatrro,0,3
quattro,5,27
quattroformaggi,0,1
quesadilles,0,1
quicha,1,1
quinoa,3,5
quinoe,1,0
quinoit,0,1
r,41,11
ra,2,1
rabiaty,0,1
racional,1,0
rafaello,1,0
rag,6,2
raga,1,0
ragout,3,1
ragu,118,16
raisins,0,1
rajbanicka,0,1
rajcina,29,20
rajcinka,1,1
rajcinovo,4,0
rajcinovy,21,20
rajnoh,1,0
rajta,2,0
ramen,1,0
ran,0,1
ranajky,1,0
ranantiersky,0,1
ranatiersky,0,1
ranch,2,0
rarasik,1,0
rarasok,1,0
rasca,30,8
rascov,0,1
rascovy,9,36
ratatouile,1,1
ratatouille,16,8
ratatuille,2,1
rattatouile,1,0
rattatouille,0,1
raviol,0,6
raw,0,2
razanec,1,0
razen,0,1
razni,1,0
raznici,21,0
razniky,1,0
razny,0,1
rebarbor,1,0
rebarbora,0,1
rebierko,27,0
rebro,29,0
recky,0,1
red,5,0
redchard,1,0
redikcia,0,1
redk,1,0
redkovka,4,4
redkovkovy,1,0
redkvicka,1,2
reduction,0,1
redukcia,2,4
relis,2,0
relit,1,0
remoulad,1,0
remulada,2,0
repa,12,15
repkovy,1,0
repy,0,1
rest,6,1
restovana,1,0
restovane,2,1
restovany,144,30
restovanym,1,0
restovanymi,1,0
rez,3,1
reza,0,1
rezancami,4,2
rezance,1,0
rezancek,55,1
rezanec,388,71
rezen,979,13
reznik,8,2
rezniky,4,0
riasa,1,0
rib,1,0
ribat,2,0
ribezla,1,0
ribezlovy,2,3
ribs,1,0
rica,40,7
riccota,0,1
riccotou,0,1
richtarsky,0,3
richter,0,1
rick,0,1
ricota,0,1
ricotto,1,4
ricottty,1,0
ricotty,6,8
riedka,0,1
riesling,0,1
rigaton,1,1
rigatt,1,0
rikota,0,1
rilovany,9,4
rimske,1,0
rimsky,6,4
risi,0,1
risit,1,0
risoto,0,1
risotto,31,21
rissota,1,0
rissotto,5,4
rizoto,226,178
rizotto,2,5
riztoto,0,1
roast,7,0
roastbeef,3,1
roasted,3,0
rob,1,0
robeny,0,1
robert,1,0
robiola,2,1
robit,3,4
rocket,0,1
rockfortovy,1,1
roh,33,2
roha,1,0
rohlik,4,3
rohy,1,0
rokford,1,0
rokfortovy,3,0
rolada,66,8
roladka,6,0
rolka,43,3
roll,2,0
rolls,0,1
rolovany,1,0
roma,1,1
romadur,2,0
romagny,1,0
romanesco,1,1
root,2,2
rosina,1,0
rosini,1,0
rossini,3,0
rosso,0,3
rost,26,2
rosta,3,0
rostbeaf,1,0
rostbif,1,0
rostenec,1,0
rostenka,51,1
rotollo,1,0
rotolo,2,0
rotunda,0,2
rozbif,1,0
rozhadzana,1,0
rozkovy,1,0
rozmajrin,0,1
rozmarin,40,4
rozmarinov,1,0
rozmarinovy,8,0
rozok,1,8
rozovy,0,1
rozpusteny,0,3
roztlaceny,1,0
roztopeny,0,2
rozvoz,4,6
ruccola,1,0
ruccolla,0,1
rucne,0,1
rucola,6,7
rucolla,2,0
rucolovo,2,1
rucolovy,3,3
ruk,3,0
rukola,71,53
rukole,1,0
rukolles,1,0
rukoloa,0,1
rukolou,3,2
rukolov,1,0
rukolovo,2,1
rukolovy,19,9
rukut,0,1
rump,8,0
rumpsteak,2,0
rumsteak,1,0
rusky,12,1
rustican,4,0
ruza,1,0
ruzicit,1,0
ruzicka,0,1
ruzickovy,4,4
ruzit,1,0
ruzova,2,0
ruzovy,4,0
ryba,17,0
rybaci,33,0
rybacia,2,0
rybi,77,0
rybie,2,0
rybka,1,0
ryi,0,1
rynsky,1,0
ryt,3,0
ryz,5,0
ryza,2231,136
ryzag,1,0
ryzat,2,0
ryzou,2,0
ryzov,4,0
ryzove,1,0
ryzovy,36,67
rӧst,1,0
s,2,0
sacher,0,3
safran,1,2
safrane,1,0
safranovy,17,6
sagio,2,0
saivia,1,0
sal,1,0
sala,18,0
salad,20,4
salads,0,2
salama,64,0
salamov,2,0
salamovy,15,0
salasnicky,6,1
salat,1721,555
salate,2,1
salatik,38,28
salatikomfrancuzsko,1,0
salatovy,7,5
salatovych,1,0
salaty,2,0
salka,0,1
salmon,5,0
salmona,2,0
salnina,1,0
salotka,18,3
salotkovo,2,0
salotkovy,3,0
sals,2,0
salsa,15,9
salses,1,0
salsicat,0,1
saltado,1,0
saltimbocco,3,0
saltimboco,1,0
saltinbocco,1,0
salvia,7,3
salviovo,2,0
salviovy,0,1
salvy,1,0
sambuci,0,1
sambus,0,1
samoinon,1,0
samostatny,2,0
sampa,5,2
sampinit,6,0
sampinnovy,0,1
sampinomny,0,1
sampinon,243,156
sampinona,0,1
sampinonami,1,0
sampinonmi,6,0
sampinonov,1,1
sampinonova,0,3
sampinonovo,8,1
sampinonovou,1,0
sampinonovy,65,96
sampion,11,6
sampionoch,1,0
sampionov,0,3
sampionove,0,1
sampionovy,5,4
san,2,0
sandwi,2,0
sanghaj,1,0
sanghat,1,0
sapinon,1,0
sapmpinon,2,0
sardela,1,1
sardelovy,1,0
sardinka,2,0
sarma,1,2
saslik,1,0
sat,3,0
satocka,0,1
